"台泥"
"愛之味"
"泰山"
"鮮活果汁-KY"
"上曜"
"再生-KY"
"廣華-KY"
"新纖"
"大魯閣"
"大東"
"名軒"
"大將"
"集盛"
"宜進"
"得力"
"聚隆"
"首利"
"儒鴻"
"聚陽"
"正道"
"日馳"
"恩德"
"和大"
"伸興"
"倉佑"
"吉茂"
"永冠-KY"
"亞德客-KY"
"岱宇"
"榮化"
"和益"
"花仙子"
"五鼎"
"杏輝"
"日勝化"
"寶齡富錦"
"中化生"
"和康生"
"科妍"
"台玻"
"寶徠"
"冠軍"
"潤隆"
"中釉"
"榮成"
"東和鋼鐵"
"中鴻"
"官田鋼"
"聚亨"
"大成鋼"
"海光"
"上銀"
"運錩"
"國際中橡"
"鑫永銓"
"六暉-KY"
"劍麟"
"英利-KY"
"台達電"
"台揚"
"華泰"
"茂矽"
"華邦電"
"錸德"
"宏碁"
"廷鑫"
"藍天"
"燿華"
"智寶"
"威盛"
"億光"
"國碩"
"南亞科"
"承啟"
"鼎元"
"銘旺科"
"燦坤"
"翔耀"
"太空梭"
"全新"
"奇力新"
"飛宏"
"麗臺"
"冠西電"
"強茂"
"東貝"
"國產"
"國揚"
"太子"
"皇普"
"聯上發"
"愛山林"
"皇翔"
"根基"
"日勝生"
"益航"
"長榮"
"陽明"
"華航"
"中櫃"
"長榮航"
"亞航"
"台驊投控"
"慧洋-KY"
"六福"
"台中銀"
"旺旺保"
"中壽"
"臺企銀"
"高雄銀"
"台開"
"三商壽"
"華南金"
"國泰金"
"玉山金"
"兆豐金"
"台新金"
"新光金"
"永豐金"
"中信金"
"第一金"
"麗嬰房"
"農林"
"潤泰全"
"豐達科"
"嘉晶"
"奇鋐"
"同開"
"禾伸堂"
"威健"
"文曄"
"全台"
"和鑫"
"總太"
"立德"
"正達"
"景岳"
"大量"
"全科"
"晟鈦"
"虹冠電"
"昇陽"
"昇貿"
"弘憶股"
"同泰"
"泰碩"
"麗清"
"新世紀"
"玉晶光"
"京鼎"
"融程電"
"台端"
"群創"
"誠研"
"揚明光"
"綠能"
"安馳"
"晶相光"
"嘉澤"
"誠創"
"聯合再生"
"艾笛森"
"智易"
"碩天"
"洋華"
"健策"
"貿聯-KY"
"新至陞"
"達能"
"海華"
"隆達"
"大眾控"
"佳醫"
"懷特"
"旭富"
"龍燈-KY"
"國光生"
"康聯-KY"
"訊映"
"承業醫"
"佐登-KY"
"炎洲"
"如興"
"東台"
"全球傳動"
"時碩工業"
"德淵"
"國精化"
"華廣"
"康普"
"台耀"
"聯德控股-KY"
"事欣科"
"泰鼎-KY"
"燦星網"
"太極"
"茂林-KY"
"康控-KY"
"光鋐"
"誠美材"
"佳凌"
"榮科"
"虹堡"
"清惠"
"鎧勝-KY"
"jpp-KY"
"崇越"
"瀚宇博"
"建國"
"工信"
"遠雄"
"遠雄港"
"四維航"
"鳳凰"
"上海商銀"
"合庫金"
"台南-KY"
"群益期"
"上福"
"嘉聯益"
"凌華"
"佳必琪"
"今國光"
"和椿"
"聚鼎"
"光鼎"
"台郡"
"同欣電"
"台表科"
"淳安"
"聯嘉"
"悅城"
"旭隼"
"樺漢"
"元晶"
"鈺邦"
"康友-KY"
"安集"
"南六"
"泰福-KY"
"虹揚-KY"
"動力-KY"
"必應"
"台通"
"尖點"
"雷虎"
"台虹"
"長華"
"至上"
"振樺電"
"志超"
"寶一"
"日友"
"建新國際"
"福貞-KY"
"山林水"
"台汽電"
"新天地"
"高力"
"鈺齊-KY"
"巨大"
"中視"
"慶豐富"
"宏全"
"潤泰新"
"三發地產"
"世紀鋼"
